property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price,row_id,row_num,sqft_numeric,sale_price,price_per_sqft_numeric
"  House for Sale in Chikuwadi Surat","Super Area","2000 sqft",NULL,"Ready to Move",NULL,NULL,NULL,NULL,"₹2,000 per sqft ","₹40 Lac ",278,1,2000.00,4000000,2000
"  House for Sale in Kamrej Surat",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"₹24 Lac ",880,1,NULL,2400000,NULL
"  Land for Sale in Bardoli Surat","Built Area","291000 sqft",NULL,NULL,NULL,NULL,NULL,"291000 Sq-ft Commercial Land is available for Sale in Bardoli, Surat for 41.0 Crore(s)Read more","₹1,409 per sqft ","₹41 Cr ",3682,1,291000.00,410000000,1409
"  Land for Sale in Bardoli Surat","Built Area","302400 sqft",NULL,NULL,NULL,NULL,NULL,"beat location for residential and commercial projects","₹177 per sqft ","₹10 Cr ",3771,1,302400.00,100000000,177
"  Land for Sale in Bardoli Surat","Built Area","302400 sqft",NULL,NULL,NULL,NULL,NULL,"valod agriculture property title clear property","₹397 per sqft ","₹12 Cr ",3707,1,302400.00,120000000,397
"  Land for Sale in blue heaven1 plot no 33 Surat","Built Area","2745 sqft",NULL,NULL,NULL,NULL,NULL,"main road touch plot","₹2,805 per sqft ","₹77 Lac ",1745,1,2745.00,7700000,2805
"  Land for Sale in Katar Gam Surat","Built Area","2500 sqft",NULL,NULL,NULL,NULL,NULL,"Superb location, great for business purposes. A Commercial Land available in Katar Gam, Surat for immediate sale. This opportunity for investment should not be missed. Buy now to get maximum returns in future. Please contact immediately for more information.Read more","₹14,200 per sqft ","₹3.55 Cr ",3727,1,2500.00,35500000,14200
"  Land for Sale in Katargam Surat","Built Area","2800 sqft",NULL,NULL,NULL,NULL,NULL,"2800 Sq-ft Commercial Land is available for Sale in Katargam, Surat for 1.2 Crore(s)Read more","₹4,321 per sqft ","₹1.21 Cr ",3125,1,2800.00,12100000,4321
"  Land for Sale in Nanpura Surat","Built Area","1800 sqft",NULL,NULL,NULL,NULL,NULL,"business location area","₹22,222 per sqft ","₹4 Cr ",4098,1,1800.00,40000000,22222
"  Land for Sale in Narthan Surat","Built Area","145 sqft",NULL,NULL,NULL,NULL,NULL,"very hot location, society in high demand","₹8,966 per sqft ","₹13 Lac ",1370,1,145.00,1300000,8966
"  Land for Sale in Palanpur Surat","Built Area","61000 sqft",NULL,NULL,NULL,NULL,NULL,"61000 Sq-ft Commercial Land is available for Sale in Palanpur, Surat for 2.0 Crore(s)Read more","₹328 per sqft ","₹2 Cr ",4014,1,61000.00,20000000,328
"  Land for Sale in Pasodara Surat","Built Area","5733 sqft",NULL,NULL,NULL,NULL,NULL,NULL,"₹11,512 per sqft ","₹6.60 Cr ",3760,1,5733.00,66000000,11512
"  Land for Sale in Sachin Surat","Built Area","3150 sqft",NULL,NULL,NULL,NULL,NULL,NULL,"₹1,556 per sqft ","₹49 Lac ",1083,1,3150.00,4900000,1556
"  Land for Sale in Shyam plaza - surat bardoli road kadodara Surat","Built Area","600 sqft",NULL,NULL,NULL,NULL,NULL,NULL,"₹6,667 per sqft ","₹40 Lac ",456,1,600.00,4000000,6667
"  Land for Sale in Udhog nagar navagam Surat","Built Area","95000 sqft",NULL,NULL,NULL,NULL,NULL,"Commercial land is available for sale. It has plot area of 95000 sq-ft, it is a good location property. Please contact for more details.Read more","₹1 per sqft ","₹1 Lac ",462,1,95000.00,100000,1
